Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0.07,0.07,0.07
100,0.19,0.2,0.2
120,0.42,0.43,0.43
150,0.89,0.92,0.91
180,1.56,1.6,1.59
210,2.49,2.53,2.5
250,4.18,4.22,4.18
300,7.18,7.21,7.15
360,12.22,12.23,12.16
410,18.77,18.77,18.71
500,29.44,29.45,29.4
600,44.74,44.82,44.71
720,64.2,64.31,64.15
860,84.67,84.77,84.63
1020,99.9,99.9,99.9
1220,100,100,100
1460,100,100,100
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
