Droplet_Size_microns,Trial_1,Trial_2,Trial_3
18,0,0,0
22,0,0,0
26,0,0,0
30,0,0,0
36,0,0,0
44,0,0,0
52,0,0,0
62,0,0,0
74,0,0,0
86,0,0,0
100,0,0,0
120,0,0.04,0.04
150,0.07,0.15,0.15
180,0.24,0.35,0.36
210,0.56,0.67,0.69
250,1.25,1.35,1.39
300,2.67,2.76,2.82
360,5.35,5.44,5.52
410,9.18,9.29,9.37
500,15.83,16,16.07
600,25.87,26.1,26.22
720,39.26,39.53,39.75
860,55.6,55.9,56.12
1020,74.11,74.68,74.59
1220,92.97,93.92,93.46
1460,99.99,99.99,99.99
1740,100,100,100
2060,100,100,100
2460,100,100,100
2940,100,100,100
3500,100,100,100
